date,bitcoin,ethereum,tether,ripple,solana,terra-luna,cardano,avalanche,stellar,monero
2022-05-12,100,13,3,1,3,0,19,13,6,2
2022-05-13,77,10,2,1,3,0,15,15,7,2
2022-05-14,55,8,1,1,2,0,12,17,6,2
2022-05-15,45,6,1,1,2,0,11,18,6,2
2022-05-16,48,7,1,1,2,0,11,18,6,2
2022-05-17,45,7,1,1,2,0,11,17,6,2
2022-05-18,43,7,1,1,2,0,10,44,6,2
2022-05-19,42,6,1,1,2,0,8,18,6,1
2022-05-20,39,6,1,1,2,0,9,41,6,2
2022-05-21,33,5,1,1,2,0,8,22,6,2
2022-05-22,32,5,1,1,2,0,8,48,5,1
2022-05-23,37,6,1,1,2,0,9,20,5,2
2022-05-24,38,5,0,1,2,0,9,49,6,1
2022-05-25,33,5,1,1,2,0,8,23,6,1
2022-05-26,35,6,1,1,2,0,8,58,6,1
2022-05-27,36,7,1,1,2,0,10,29,7,1
2022-05-28,30,6,1,1,2,0,7,68,5,1
2022-05-29,29,6,1,1,2,0,9,23,5,1
2022-05-30,34,6,1,1,2,0,10,18,7,1
2022-05-31,35,6,1,1,2,0,15,28,6,1
2022-06-01,32,5,0,1,3,0,11,72,6,2
2022-06-02,30,5,0,1,3,0,11,27,6,2
2022-06-03,30,5,0,1,2,0,9,66,6,1
2022-06-04,26,5,0,1,2,0,9,35,5,1
2022-06-05,26,5,0,1,2,0,9,79,5,1
2022-06-06,31,5,1,1,2,0,11,29,6,1
2022-06-07,33,5,0,1,2,0,11,100,6,1
2022-06-08,30,5,0,1,2,0,12,20,6,2
2022-06-09,28,5,0,1,2,0,10,14,6,2
2022-06-10,0,0,0,0,0,0,0,0,0,0
